MCDA Alto Rio Design Alternatives;;;;;;;;;;;;;;;;;;
Stakeholder;Criteria;Enhanced shear wall detailling;Base isolation;Tuned mass damper;Dual structural system;Lightweight lower-rise ;Criteria_Weight;;;;;;;;;;;
Governments/municipalities;Urban integration;40;30;30;30;35;0.1;;;;;;;;;;;
Governments/municipalities;Seismic resilicience;20;75;80;35;15;0.2;;;;;;;;;;;
Governments/municipalities;Code compliance;70;90;65;90;65;0.3;;;;;;;;;;;
Governments/municipalities;Safety;50;70;65;75;45;0.4;;;;;;;;;;;
Inhabitants;Healthy environment;80;60;50;60;75;0.15;;;;;;;;;;;
Inhabitants;Seismic resilicience;20;75;80;35;15;0.2;;;;;;;;;;;
Inhabitants;Safety;50;70;65;75;45;0.4;;;;;;;;;;;
Inhabitants;Facilities;80;60;45;60;75;0.15;;;;;;;;;;;
Inhabitants;Mobility;75;70;30;40;70;0.1;;;;;;;;;;;
Construction company;Feasibility;90;40;60;60;85;0.3;;;;;;;;;;;
Construction company;Construction time;85;40;30;70;80;0.2;;;;;;;;;;;
Construction company;Availabilty of materials and labor;65;25;40;90;60;0.2;;;;;;;;;;;
Construction company;Worker safety;75;30;15;65;70;0.3;;;;;;;;;;;
Asset owner;Costs;80;20;25;50;75;0.3;;;;;;;;;;;
Asset owner;Durability;70;15;20;65;65;0.2;;;;;;;;;;;
Asset owner;Seismic resilicience;20;75;80;35;15;0.1;;;;;;;;;;;
Asset owner;Maintenance;90;30;20;80;85;0.2;;;;;;;;;;;
Asset owner;Rentable floor area;50;40;30;30;0;0.2;;;;;;;;;;;
